"Code_activites";"Activite"
5;"Activites culturelles: cinema, peinture, lecture"
6;"Membre de l'association IDEA"
7;"Pratique de l'équitation"
8;"Activités culturelles : lecture, cinéma, musique"
9;"Activités sportives: ski, tennis"
10;"Natation, ciné, voyages…"
11;"Natation à Lyon Natation-Lyon"
12;"Planche à voile au CVMD, Grand Large  Lyon"
13;"Apprentissage du ùd instrument de musique arabe"
14;"Lecture romanesque et autres"
15;"Création de site web"
16;"Membre de l'association des étudiants cambodgiens  en France. Créer un site web pour cette association : http://www.geocities.com/k_super007/"
17;"Participer dans la recherche pédagogique pour des cours Cambodgiens à Lyon."
18;"Sport: Tennis de table, badminton, natation et le foot."
23;"Vie associative : Trésorier de l’association IDEA qui représente le DESS IIDEE"
26;"Membre de l' association IDEA : chargée de constituer l'Annuaire des anciens étudiants du DESS IIDEE"
27;"Pratique de la danse, participe à la vie de l'école de danse, aux spectacles de fin d'année, aux concours régionaux"
28;"Aime la peinture, le cinéma et le théâtre"
36;"Cinéma (Fritz Lang, Hitchcock), pratique : guitare (classique et folk), licencié à la FFT."
37;"Interprète dans deux drames musicaux."
39;"Sport : Pratique du Hand ball en club (compétition), Squash, Snowboard."
40;"Associatif : Trésorier de l'association IDEA ( Association des étudiants du DESS IIDEE), Fondateur de l'Association des Etudiants MASS, BAFA"
41;"Activités sportives : tennis de table, jogging / Activités culturelles : musique (chanteur), lecture, cinéma"
42;"Musique, Handball, Cinéma, Littérature"
43;"Ski, Tennis, Jogging et lecture"
45;"Sports: Judo (2ème Dan), pratique le rugby au RCA (2ème division) et autres sports."
46;"Loisirs: Cinéma, musique."
47;"1998 Président de IDE@, association des étudiants du DESS 2IDEE"
48;"1996-1998 Représentant élu des usagers au Conseil d'Administration de Université Lumière Lyon II"
49;"1997 Président de POLYECO, association de licence de Sciences Economiques et de Gestion"
50;"1997 Responsable moniteur de l'association ASUL-Aviron"
51;"Loisir : Aviron universitaire - Moniteur"
52;"Administratrice de l'AUTO Moto Club, association centrée sur la promotion de la BX, la participation à des courses de stock-car et à l'amélioration des rapports entre usagers de la route."
53;"Activités sportives régulières : Tennis ( classé à 15/5, j'ai enseigné durant 2 années à école du Tennis Club Fidésien ), Course à pied ( semi-marathon ), Cyclisme, Football"
54;"Activités culturelles : Musique, Information, Cinéma"
83;"Ski, Snowboard, Randonnée, Equitation, Squash."
170;"Sport : Equitation en compétition officielle nationale, Ski alpin, badminton universitaire. Loisirs : Piano classique (8 ans), lecture,"
188;"soutien scolaire en mathématiques"
189;"sport :volley ball, badminton, footing"
190;"voyages: Angleterre, Irlande, Allemagne, Suisse, Autriche, Pays de Galles, Italie, Sénégal."
201;"Vice-président de l'IDEA (Association du DESS IIDEE)"
202;"Football (compétition)"
204;"J'ai assisté à des nombreux séminaires animés par des professionnels : Veille technologique animé par Madamme S. Descharmes, chargé d'études chez ARIST. Le conseil en PME animé par Monsieur Y. Martin, conseillé chargé d'études chez ASTER. La démarche d'achat de conseil (la DRIR). Data ware House (Syntegra)."
205;"Soutien scolaire (bénévole) au centre social de Cusset Villeurbanne (octobre 1995 - avrilv1996)."
211;"Sport, Cinéma"
297;"Loisirs : Natation, football, jeu d'échec et navigation sur Internet"
329;"Vice-Président de l'Association des Etudiants du DESS IIDEE (IDEA)"
330;"Président de l'Association des Etudiants de la Résidence Universitaire Mermoz"
331;"Vice-Président de la FARULY (Fédération des Associations de Résidences Universitaires Lyonnaises)"
355;"Musique: bassiste, pianiste, guitariste. Membre d'un groupe musical de fusion jazz-rock"
356;"Musique:amateur de jazz, musique électronique, fusion..."
357;"Sport:Basket-ball"
372;"Trésorière de l'association du DESS IIDEE pour l'année 1999/2000, Trésorière de l'association TRANSAM (Maîtrise d'économie) pour l'année 1998/1999"
373;"Activités culturelles : lecture, cinéma, musique"
374;"Activités sportives : natation"
378;"Membre de l'Association ART MANIAK (graphiste et ""ingénieur"" du son)"
379;"Membre de l'Association IDEA²"
380;"Musique (bassiste)"
381;"Alpinisme, VTT"
383;"handball, Composition de musique electronique, webmaster de http://www.polymorphe.org"
384;"Tennis, basket, multimedia"
394;"Monotrice de ski"
