Index_Formation_Etudiant,Code_formation,Code_etudiant
8,8,3
9,9,3
10,10,3
11,11,3
12,12,3
13,13,3
19,19,6
20,20,6
21,21,6
22,22,6
23,23,6
24,24,7
25,25,7
26,26,7
27,27,9
28,28,9
29,29,9
30,30,9
31,31,10
32,32,10
33,33,10
34,34,10
35,35,10
36,36,11
37,37,11
38,38,11
39,39,11
40,40,11
41,41,11
42,42,12
43,43,12
44,44,12
45,45,12
46,46,12
53,53,3
54,54,76
55,55,76
56,56,76
57,57,76
62,62,79
63,63,79
64,64,79
65,65,79
66,66,79
67,67,80
68,68,80
69,69,80
70,70,80
71,71,80
76,76,4
77,77,4
78,78,4
79,79,4
80,80,13
81,81,13
82,82,13
83,83,13
97,97,85
98,98,85
99,99,85
100,100,65
101,101,65
102,102,65
103,103,65
104,104,65
105,105,66
106,106,66
107,107,66
108,108,66
109,109,66
110,110,66
111,111,67
112,112,67
113,113,67
114,114,67
115,115,69
116,116,69
117,117,69
118,118,77
119,119,77
120,120,77
121,121,77
123,123,77
124,124,76
125,125,69
126,126,69
127,127,70
128,128,70
129,129,70
130,130,70
131,131,70
137,137,61
138,138,61
139,139,61
140,140,61
141,141,62
142,142,62
143,143,62
144,144,62
145,145,62
146,146,63
147,147,63
148,148,64
149,149,64
150,150,64
151,151,64
152,152,64
153,153,82
154,154,82
155,155,82
156,156,82
157,157,82
238,239,71
239,240,71
240,241,71
241,242,71
242,243,71
423,430,52
424,431,52
425,432,52
426,433,52
481,488,95
482,489,95
483,490,95
484,491,95
485,492,95
496,523,75
497,524,75
498,525,75
499,526,75
500,527,75
501,528,75
502,530,87
503,531,87
504,532,87
505,533,87
507,549,8
508,550,8
509,551,8
510,552,8
916,971,108
917,972,108
918,973,108
931,986,96
932,987,96
933,988,96
934,989,96
935,990,96
936,991,96
979,1037,99
980,1038,99
981,1039,99
982,1040,99
983,1041,103
984,1042,103
985,1043,103
986,1044,103
1029,1087,5
1030,1088,5
1031,1089,5
1032,1090,5
1033,1091,5
1049,1107,2
1050,1108,2
1051,1109,2
1052,1110,2
1053,1111,2
1054,1112,2
1055,1113,1
1056,1114,1
1057,1115,1
1058,1116,1
1059,1117,1
1060,1118,1
1088,1146,98
1089,1147,98
1090,1148,98
1091,1149,98
1092,1150,98
1093,1151,91
1094,1152,91
1095,1153,91
1096,1154,91
1097,1155,81
1098,1156,81
1104,1162,93
1105,1163,93
1106,1164,93
1107,1165,93
1108,1166,93
1151,1209,58
1152,1210,58
1153,1211,58
1154,1212,58
1155,1213,58
1161,1219,107
1162,1220,107
1163,1221,107
1164,1222,107
1165,1223,107
