Index_Info,Code_Etudiant,Code_connaissance
17,6,17
18,6,18
19,6,19
20,7,20
21,7,21
26,9,26
27,9,27
28,9,28
29,9,29
30,10,30
31,10,31
32,10,32
33,10,33
34,11,34
35,11,35
36,11,36
37,11,37
38,11,38
39,12,39
40,12,40
41,12,41
42,12,42
43,12,43
44,12,44
45,12,45
46,12,46
47,12,47
48,12,48
49,3,49
50,3,50
51,3,51
52,3,52
53,3,53
54,3,54
55,3,55
56,3,56
57,3,57
58,3,58
59,3,59
60,3,60
61,3,61
62,3,62
63,3,63
64,3,64
65,3,65
66,76,66
67,76,67
68,76,68
69,76,69
70,76,70
71,76,71
72,76,72
73,76,73
74,76,74
75,76,75
76,76,76
77,76,77
78,76,78
79,76,79
80,76,80
81,77,81
82,77,82
83,77,83
84,77,84
85,77,85
90,79,90
91,79,91
92,79,92
93,79,93
99,80,99
100,80,100
101,80,101
102,80,102
103,4,103
104,4,104
105,4,105
106,4,106
107,13,107
108,13,108
109,13,109
110,13,110
126,85,126
127,85,127
128,85,128
129,85,129
130,65,130
131,65,131
132,65,132
133,65,133
134,65,134
135,65,135
136,66,136
137,66,137
138,66,138
139,66,139
140,66,140
141,66,141
144,67,144
145,67,145
146,67,146
147,67,147
148,67,148
149,77,149
150,69,150
151,69,151
152,69,152
153,69,153
154,69,154
155,70,155
156,70,156
157,70,157
158,70,158
159,70,159
165,61,165
166,61,166
167,61,167
168,61,168
169,61,169
170,61,170
171,62,171
172,62,172
173,62,173
174,62,174
175,62,175
176,62,176
177,62,177
178,64,178
179,64,179
180,64,180
181,64,181
182,64,182
183,64,183
184,82,184
185,82,185
186,82,186
187,82,187
188,82,188
189,82,189
190,82,190
191,82,191
295,71,296
296,71,297
297,71,298
298,71,299
299,71,300
300,71,301
301,71,302
302,71,303
530,52,531
531,52,532
532,52,533
533,52,534
534,52,535
623,95,624
624,95,625
625,95,626
626,95,627
627,95,628
628,95,629
629,95,630
630,95,631
701,75,702
702,75,703
703,75,704
704,75,705
705,75,706
706,75,707
707,75,708
708,75,709
709,75,710
718,87,719
719,87,720
720,87,721
721,87,722
722,87,723
773,8,774
774,8,775
775,8,776
1154,101,1155
1155,101,1156
1156,101,1157
1157,101,1158
1158,101,1159
1397,79,1398
1398,79,1399
1571,108,1572
1572,108,1573
1573,108,1574
1574,108,1575
1575,108,1576
1576,108,1577
1577,108,1578
1578,108,1579
1605,96,1606
1606,96,1607
1607,96,1608
1608,96,1609
1609,96,1610
1610,96,1611
1611,96,1612
1612,96,1613
1613,96,1614
1687,99,1688
1688,99,1689
1689,103,1690
1690,103,1691
1691,103,1692
1692,103,1693
1693,103,1694
1694,103,1695
1695,103,1696
1696,103,1697
1697,103,1698
1790,5,1791
1791,5,1792
1792,5,1793
1793,5,1794
1821,2,1822
1822,2,1823
1823,2,1824
1824,2,1825
1825,2,1826
1826,2,1827
1827,1,1828
1828,1,1829
1829,1,1830
1830,1,1831
1831,1,1832
1832,1,1833
1833,1,1834
1880,98,1881
1881,98,1882
1882,98,1883
1883,98,1884
1884,98,1885
1885,98,1886
1886,98,1887
1887,98,1888
1888,98,1889
1889,91,1890
1890,91,1891
1891,91,1892
1892,91,1893
1893,91,1894
1894,91,1895
1895,91,1896
1896,91,1897
1897,91,1898
1898,81,1899
1899,81,1900
1900,81,1901
1901,81,1902
1902,81,1903
1903,81,1904
1904,81,1905
1905,81,1906
1906,81,1907
1914,93,1915
1915,93,1916
1916,93,1917
1917,93,1918
1918,93,1919
1919,93,1920
1920,93,1921
2002,58,2003
2003,58,2004
2004,58,2005
2005,58,2006
2006,58,2007
2007,58,2008
2008,58,2009
2009,58,2010
2010,58,2011
2020,107,2021
2021,107,2022
2022,107,2023
2023,107,2024
2024,107,2025
2025,107,2026
2026,107,2027
2027,107,2028
2028,107,2029
